,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
5481,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.501741,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5482,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.824764,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5483,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,1.107239,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5484,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,1.443797,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5485,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,1.840353,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5486,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,2.414924,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5487,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,2.972525,112.0,112.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5488,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,3.931746,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5478,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.14882,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5489,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,4.188629,128.0,128.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5491,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,6.600589,144.0,144.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5492,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,7.96386,152.0,152.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5493,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,9.34344,160.0,160.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5494,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,10.873107,168.0,168.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5495,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,12.43978,176.0,176.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5496,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,14.451626,184.0,184.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5498,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,20.143037,200.0,200.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5499,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,22.811863,208.0,208.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5500,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,28.403784,216.0,216.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5501,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,31.072889,224.0,224.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5490,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,5.787222,136.0,136.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5477,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.07001,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5476,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.033293,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
