,compute_version,registers,smem,cmem,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,grid_x,grid_y,block_x,block_y
4078,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,1280,0.419294,40,40,32,32
4079,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,1536,0.733805,48,48,32,32
4080,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,1792,1.14126,56,56,32,32
4081,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,2048,1.707923,64,64,32,32
4082,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,2304,2.428952,72,72,32,32
4083,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,2560,3.336814,80,80,32,32
4084,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,2816,4.424844,88,88,32,32
4085,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,3072,5.793514,96,96,32,32
4086,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,3328,7.302594,104,104,32,32
4077,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,1024,0.245711,32,32,32,32
4204,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,768,0.013003,48,48,16,16
4205,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,1024,0.029289,64,64,16,16
4206,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,1280,0.059663,80,80,16,16
4326,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7424,30.704287,232,232,32,32
4327,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7680,34.935529,240,240,32,32
4328,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7936,40.633434,248,248,32,32
4329,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,8192,57.147184,256,256,32,32
4330,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,256,0.001536811,8,8,32,32
4331,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,512,0.010872,16,16,32,32
4332,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,768,0.038636,24,24,32,32
